AnthonyBrownMD4,1378000346
AustinScottGA08,234797704
BennieGThompson,82453460
BettyMcCollum04,516880804
BillPascrell,74508260
BobbyScott,161791703
boblatta,15394954
BradSherman,30216513
brettguthrie,114607567
Call_Me_Dutch,305620929
cathymcmorris,17976923
chelliepingree,14984637
Clyburn,188019606
ConawayTX11,295685416
congbillposey,25086658
CongBoyle,4304448314
CongCulberson,24183358
CongMikeSimpson,76132891
CongPalazzo,299883942
CongressmanGT,18967498
CongressmanHice,2975091705
CongressmanRaja,8.14179E+17
CongressmanRuiz,1089859058
DanaRohrabacher,19139963
DarrellIssa,22509548
daveloebsack,510516465
davereichert,16102244
DavidRouzer,127941167
DesJarlaisTN04,235312723
DonaldNorcross,3122099613
DorisMatsui,38254095
DrNealDunnFL2,8.15952E+17
DrPhilRoe,52503751
EleanorNorton,23600262
farenthold,17896154
FrankPallone,31801993
GerryConnolly,78445977
GKButterfield,432676344
GOPLeader,19739126
gracenapolitano,161411080
GreggHarper,23712174
GregoryMeeks,22812754
HerreraBeutler,242926427
HurdOnTheHill,2963445730
JacksonLeeTX18,80612021
jahimes,31611298
janschakowsky,24195214
jasoninthehouse,17800215
JeffFortenberry,18805303
Jim_Jordan,18166778
JimLangevin,18909919
JimPressOffice,851621377
JoaquinCastrotx,231510077
JudgeCarter,18030431
JudgeTedPoe,74198348
JuliaBrownley26,1243902714
justinamash,233842454
keithellison,14135426
KeithRothfus,1155212191
KenCalvert,22545491
KYComer,838462994
LamarSmithTX21,15856366
louiseslaughter,63169388
MacTXPress,377534571
MarioDB,37094727
MarkAmodeiNV2,402719755
MarshaBlackburn,278145569
MaxineWaters,36686040
michaelcburgess,15751083
MikeKellyPA,935368364
NancyPelosi,15764644
nikiinthehouse,242892689
NitaLowey,221792092
NormaJTorres,236279233
NydiaVelazquez,164369297
PatrickMcHenry,27676828
PatTiberi,912608010
PeterRoskam,20015903
PeterWelch,1410590874
PeteSessions,24735461
Raul_Labrador,246341769
RepAbraham,2962891515
RepAdams,2916086925
RepAdamSchiff,29501253
RepAdamSmith,58928690
RepAdrianSmith,296245061
RepAlexMooney,2964526557
RepAlGreen,156333623
RepAlLawsonJr,8.18472E+17
RepAmata,3026622545
RepAndreCarson,199325935
RepAndyBarr,1089334250
RepAndyBiggsAZ,8.16653E+17
RepAndyHarrisMD,960962340
RepAnnaEshoo,249348006
RepAnnieKuster,1058717720
RepAnnWagner,1051446626
RepArrington,8.16285E+17
RepBarbaraLee,248735463
RepBarragan,8.16834E+17
RepBeatty,1531521632
RepBecerra,8.24281E+17
RepBera,950783972
RepBetoORourke,1134292500
RepBillFlores,237312687
RepBillFoster,1080509366
RepBillJohnson,211530910
RepBillShuster,22527499
RepBlainePress,1849261916
repblumenauer,15954997
RepBobbyRush,305216911
RepBobGibbs,234822928
RepBonamici,558769636
RepBonnie,2968451607
RepBost,2964877294
RepBradWenstrup,518644221
RepBrady,148453195
RepBrianBabin,2929491549
RepBrianFitz,8.16303E+17
RepBrianHiggins,33576489
RepBrianMast,8.14104E+17
RepBRochester,8.1705E+17
RepBuddyCarter,2973870195
RepByrne,2253968388
RepCarbajal,8.16158E+17
RepCardenas,1222257180
RepCartwright,776664410
RepCharlieCrist,8.1603E+17
RepCharlieDent,242376736
RepCheri,1092979962
RepChrisCollins,1058256326
RepChrisSmith,1289319271
RepChrisStewart,1072008757
RepChuck,235190657
RepCicilline,462143773
repcleaver,163570705
RepCohen,162069635
RepComstock,2933760046
RepCuellar,210926192
RepCummings,787373558
RepCurbelo,2853309155
RepDanDonovan,3353670647
RepDanKildee,1045110018
RepDannyDavis,789244177
RepDarrenSoto,8.18713E+17
RepDaveBrat,2560169238
RepDaveJoyce,976969338
repdavetrott,2869746172
RepDavid,229197216
RepDavidEPrice,155669457
repdavidkustoff,8.16012E+17
repdavidscott,168673083
RepDavidValadao,1128514404
RepDavidYoung,314205957
RepDebDingell,2970279814
RepDelBene,995193054
RepDennisRoss,33655490
RepDennyHeck,1068499286
RepDerekKilmer,1058917562
RepDeSantis,1058807868
RepDeSaulnier,2968007206
Rep_DevinNunes,344972339
RepDianaDeGette,28599820
RepDianeBlack,110545675
repdinatitus,122174004
RepDLamborn,584012853
RepDonaldPayne,1155335864
RepDonBacon,8.18975E+17
RepDonBeyer,2962868158
repdonyoung,37007274
RepDougCollins,1060487274
RepDrewFerguson,8.06584E+17
RepDwightEvans,90639372
RepDWStweets,1140648348
RepEBJ,168502762
RepEdRoyce,246769138
RepEliotEngel,164007407
RepErikPaulsen,17513304
RepEspaillat,8.17076E+17
RepEsty,1060984272
RepEvanJenkins,2953713339
RepFilemonVela,1083448909
RepFrankLucas,242772524
RepFredUpton,124224165
RepFrenchHill,2953974395
RepGallagher,8.15967E+17
RepGaramendi,88806753
RepGarretGraves,2951574214
RepGeneGreen,111635527
RepGonzalez,8.18536E+17
RepGoodlatte,37920978
RepGosar,240760644
RepGraceMeng,1051127714
repgregwalden,32010840
RepGrothman,2976606250
RepGusBilirakis,26051676
RepGutierrez,36948268
RepGwenMoore,22669526
RepHalRogers,550401754
RepHanabusa,235373000
RepHankJohnson,24745957
RepHartzler,237763317
RepHastingsFL,2433737761
RepHensarling,18566912
RepHolding,1058460818
RepHuffman,1071102246
RepHuizenga,233949261
RepHultgren,237814920
Rep_Hunter,1305596696
RepJackBergman,8.15242E+17
RepJackyRosen,8.18554E+17
RepJaredPolis,463132556
RepJasonLewis,8.16047E+17
RepJasonSmith,1623308912
RepJayapal,8.15733E+17
RepJBridenstine,1092757885
RepJeffDenham,248699486
RepJeffDuncan,240393970
RepJeffries,467823431
RepJenniffer,8.19745E+17
RepJerryNadler,40302336
RepJimBanks,8.16131E+17
repjimcooper,22523087
RepJimCosta,245451804
RepJimmyPanetta,7.96737E+17
RepJimRenacci,236916916
RepJoeBarton,19929362
RepJoeCourtney,85396297
repjoecrowley,111635980
RepJoeKennedy,1055907624
RepJoeWilson,254082173
RepJohnConyers,138770045
RepJohnDelaney,937723303
RepJohnDuncanJr,1883356866
RepJohnFaso,8.15932E+17
RepJohnKatko,2966765501
RepJohnLarson,50452197
repjohnlewis,29450962
RepJohnYarmuth,384913290
RepJoseSerrano,33563161
RepJoshG,8.15311E+17
RepJuanVargas,1260172386
RepJudyChu,193732179
RepKarenBass,239949176
RepKathleenRice,2970462034
RepKayGranger,161743731
RepKClark,2293131060
RepKenBuck,2862577383
RepKenMarchant,23976316
RepKevinBrady,19926675
RepKevinCramer,1048784496
RepKevinYoder,252819642
RepKihuen,8.16282E+17
RepKinzinger,219429281
RepKristiNoem,235251868
RepLaHood,3686482216
RepLaMalfa,1069124515
RepLanceNJ7,613725908
RepLarryBucshon,234812598
RepLawrence,2863006655
RepLeeZeldin,2750127259
RepLindaSanchez,312134473
RepLipinski,1009269193
RepLizCheney,8.1672E+17
RepLloydDoggett,153944899
RepLoBiondo,241207373
RepLoisFrankel,1077121945
RepLouBarletta,239871673
RepLoudermilk,2914163523
replouiegohmert,22055226
RepLowenthal,1055730738
RepLujanGrisham,1061385474
RepLukeMesser,1045853744
RepLynnJenkins,19658173
RepMaloney,258900199
RepMarciaFudge,153486399
RepMarcyKaptur,581141508
RepMarkMeadows,963480595
repmarkpocan,1206227149
RepMarkTakano,1037321378
RepMarkWalker,2966205003
RepMarthaRoby,224294785
RepMattGaetz,8.18949E+17
RepMcCaul,26424123
RepMcClintock,50152441
RepMcEachin,8.16181E+17
RepMcGovern,242426145
RepMcKinley,240427862
RepMcNerney,385429543
RepMcSally,2964949642
RepMeehan,248850174
RepMGriffith,234057152
RepMiaLove,2976598347
RepMikeBishop,2914571740
RepMikeCapuano,7.47806E+17
RepMikeCoffman,19407835
RepMikeQuigley,56864092
RepMikeRogersAL,33977070
RepMikeTurner,51228911
RepMimiWalters,47798449
RepMoBrooks,237299871
RepMoolenaar,2696643955
RepMullin,1060370282
RepNewhouse,2930635215
RepOHalleran,8.08417E+17
RepPaulCook,1074412920
RepPaulMitchell,8.11633E+17
RepPaulTonko,84119348
RepPerlmutter,20552026
RepPeteAguilar,3018670151
RepPeteKing,18277655
RepPeteOlson,20053279
RepPeterDeFazio,252249233
reppittenger,950328072
RepPoliquin,2932617195
RepRaskin,8.06906E+17
RepRatcliffe,2847221717
RepRaulGrijalva,28602948
RepRichardNeal,442824717
RepRichHudson,935033864
RepRichmond,267854863
RepRickAllen,2964287128
RepRickCrawford,233693291
RepRickLarsen,404132211
RepRobBishop,148006729
RepRobinKelly,1339931490
RepRobWoodall,2382685057
RepRodBlum,2965083477
RepRoKhanna,8.16299E+17
RepRonEstes,8.54715E+17
RepRonKind,112740986
RepRooney,8.16112E+17
RepRoybalAllard,479872233
RepRubenGallego,2966570782
RepRussell,2966758114
RepRWilliams,1077446982
RepRyanCostello,2953922782
RepSamGraves,29766367
repsandylevin,25781141
RepSanfordSC,1499993378
RepSarbanes,364415553
RepSchneider,1071840474
RepSchrader,20545793
RepScottPerry,18773159
RepScottPeters,1135486501
RepSeanDuffy,234022257
RepSeanMaloney,1072467470
RepSheaPorter,126171100
RepShimkus,15600527
RepSinema,1080844782
RepSires,18696134
RepSmucker,41417564
RepSpeier,24913074
RepStefanik,2962813893
RepStephenLynch,310310133
RepStephMurphy,7.96184E+17
RepSteveChabot,237750442
RepSteveStivers,211420609
rep_stevewomack,234469322
RepSusanDavis,432771620
RepSwalwell,942156122
RepTedBudd,8.17138E+17
RepTedDeutch,137794015
RepTedLieu,3044993235
RepTedYoho,1071900114
RepTenney,7.97201E+17
RepTerriSewell,381152398
RepThomasMassie,975200486
RepThompson,303861808
RepTimMurphy,117777832
RepTimRyan,13491312
RepTimWalz,1262814457
RepTipton,242873057
RepTomEmmer,2914515430
Rep_Tom_Garrett,8.18461E+17
RepTomGraves,190328374
RepTomMacArthur,2962994194
RepTomMarino,240363117
RepTomReed,252819323
RepTomRice,1058345042
RepTomSuozzi,8.16705E+17
RepTrentFranks,24773493
RepTrentKelly,3317799825
RepTrey,8.11986E+17
RepValDemings,7.98973E+17
RepVeasey,1074129612
RepVisclosky,193872188
RepWalberg,237862972
RepWalorski,1065995022
RepWalterJones,26778110
RepWebster,281540744
RepWesterman,2852998461
RepWilson,234014087
RepYvetteClarke,240812994
RepZoeLofgren,267938462
Robert_Aderholt,76452765
RobWittman,15356407
RodneyDavis,993153006
RogerMarshallMD,1240107944
rosadelauro,140519774
RosLehtinen,14275291
SamsPressShop,249288197
SanfordBishop,249410485
Scotttaylorva,42337890
SpeakerRyan,18916432
StaceyPlaskett,2724095695
SteveKingIA,48117116
SteveKnight25,2974648323
SteveScalise,1209417007
SusanWBrooks,1074101017
teammoulton,3091316093
TGowdySC,237348797
ToddRokita,17544524
TomColeOK04,23124635
TomRooney,23970171
TulsiPress,1064206014
TXRandy14,1058051748
USRepGaryPalmer,2861616083
USRepKCastor,1880674038
USRepKeating,232992031
USRepLong,1444015610
USRepMikeDoyle,39249305
USRepRickNolan,1055685948
USRepRodney,1382011333
VernBuchanan,20467163
virginiafoxx,16256269
WarrenDavidson,7.42736E+17
WhipHoyer,22012091
